,index,C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,P,S,Ms (K),Payson_Savage,Andrews_2,Capdevila,pre_1,index_clean,pre_3,predicted_3
311,346,0.2,0.75,0.3,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,653.9949999999999,693.9109999999998,667.925,683.2363448567447,0,683.2363448567447,676.076763455051
312,347,0.38,0.81,0.18,1.54,0.01,0.63,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,572.761,599.72358,609.4559999999998,614.1317700970625,0,614.1317700970625,611.8799068901354
313,348,0.14,0.41,0.21,5.12,0.19,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,560.558,742.1674199999999,658.7470000000001,698.752432006859,0,698.752432006859,673.4962390395908
314,349,0.34,0.26,0.13,0.61,5.1,0.53,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,546.26,553.7993600000001,562.6580000000001,550.5610383492461,0,550.5610383492461,550.7711522140924
315,350,0.41,0.86,0.36,0.33,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.018,621.0,600.284,606.3955199999999,605.685,621.125960819786,0,621.125960819786,620.3062695383993
316,351,0.23,0.68,0.47,0.96,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,640.3309999999999,677.02562,659.3710000000001,696.2962969372693,0,696.2962969372693,695.4466089430667
317,352,0.28,0.5,0.25,3.1,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0,571.9969999999998,648.1959999999999,634.205,683.0507130800904,0,683.0507130800904,698.5343688085532
318,353,0.25,0.0,0.0,0.02,4.97,4.03,0.06,16.01,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,641.0,564.587,563.1465,752.9078000000002,626.7356790576999,0,626.7356790576999,640.359218501279
319,354,0.4,1.37,1.38,0.75,1.31,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,533.6009999999999,561.384,554.5590000000001,518.457347803861,0,518.457347803861,519.7538989583333
320,355,0.47,0.4,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.2611111,598.115,606.7333,594.368,632.8974625494042,0,632.8974625494042,603.6238839467314
321,356,0.004,0.03,1.390395425,0.0,22.18716103,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,433.15,383.8252215815,408.36987059300003,373.6039932395,446.85578370179667,0,446.85578370179667,439.8586157976944
322,357,0.58,0.81,0.89,1.27,0.06,0.02,0.11,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,533.6666666666666,514.9820000000001,529.8699399999998,537.168,533.756971321912,0,533.756971321912,532.8424093572393
323,358,0.35,0.86,1.55,1.21,0.21,0.58,0.06,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,595.0,571.7789999999999,612.1234000000001,596.6360000000001,596.418501052096,0,596.418501052096,596.7123025231492
324,359,0.96,0.74,0.26,0.84,1.19,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,396.266,436.5849600000001,420.276,419.59114500500954,0,419.59114500500954,416.95557821659133
325,360,0.78,1.61,0.48,0.0,0.0,0.0,0.16,0.0,0.018,0.0,0.18,0.0,0.0,0.0,0.018,0.014,0.028,651.0,466.0829999999999,474.04309999999987,469.91200000000003,649.0995388113467,0,649.0995388113467,649.3613175892219
326,361,0.41,0.76,0.32,0.77,3.59,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,531.6510000000001,542.87098,545.863,518.1752286497277,0,518.1752286497277,521.9500626501141
327,363,0.27,1.36,0.5,0.58,0.68,0.34,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.006,625.0,604.449,635.79634,617.998,624.8766966629937,0,624.8766966629937,625.7837778696926
328,364,0.35,0.8,0.36,0.0,2.58,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.023,581.0,578.8249999999999,582.1505000000001,587.634,581.7138199437679,0,581.7138199437679,582.9752563174701
330,366,0.4,0.6,0.25,1.2,1.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0,560.8749999999999,578.862,586.3150000000002,577.6878610085961,0,577.6878610085961,572.1864464583583
331,367,0.1,1.53,0.35,0.0,0.0,0.01,0.07,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,743.0,685.4350000000001,730.9855,682.071,742.9607905489736,0,742.9607905489736,743.4466827622002
332,369,0.004,0.03,0.517309988,0.0,22.38360525,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,458.15,390.2358514582,405.04996327500004,383.00275802399995,447.59459832789946,0,447.59459832789946,434.5259567881603
333,370,0.34,0.71,0.0,0.0,2.52,0.42,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,593.983,592.3771,598.7660000000001,592.0058237214569,0,592.0058237214569,584.3360225330603
334,371,0.98,1.84,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.011,393.0,399.524,420.688,410.18800000000005,393.3971804632612,0,393.3971804632612,391.53091311807185
335,372,0.13,0.63,0.32,0.95,0.07,0.86,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.5,669.223,720.6198499999999,693.391,705.5668745387662,0,705.5668745387662,706.2424363649748
336,373,0.18,0.62,0.25,0.8,0.14,0.4,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.011,0.017,708.0,662.605,698.761,676.6170000000002,707.7966993815951,0,707.7966993815951,707.566534374365
337,374,0.33,0.86,1.62,0.81,1.8,0.4,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,563.901,598.86012,578.407,590.5198213647969,0,590.5198213647969,593.4149156118488
338,375,0.15,0.67,0.48,1.2,0.25,0.0,0.31,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,708.0,659.371,716.50375,674.4840000000002,706.0758811241724,0,706.0758811241724,704.0534003324259
