图号,钢号,C,Si,Mn,Cr,Ni,Mo,W,V,S,P,Cu,Al,Ti,B,Co,Nb,N,Ms/°C,Ms (K)
 IV-1-591,W10Cr4V4Co5,1.49,0,0,4.06,0,0,10.62,4.44,0,0,0,0,0,0,4.8,0,0,170,443.15
 IV-1-592,Cr3Mo8W2V,0.82,0.3,0.3,3.8,0,8.7,1.6,1.1,0,0,0,0,0,0,0,0,0,230,503.15
 IV-1-593,Cr4Mo2W3V2,0.97,0.31,0.18,4.11,0.25,2.61,3.23,2.51,0,0,0,0,0,0,0,0,0,165,438.15
 IV-1-594,Cr4Mo2W3V2,0.97,0.31,0.18,4.11,0.25,2.61,3.23,2.51,0,0,0,0,0,0,0,0,0,150,423.15
 IV-1-595,Cr4Mo2W3V2,0.95,0,0,4.34,0,2.59,2.88,2.42,0,0,0,0,0,0,0,0,0,200,473.15
 IV-1-596,Cr4Mo5W6V2,0.8,0.27,0.23,4.07,0,6.09,5.7,1.65,0,0,0,0,0,0,0,0,0,190,463.15
 IV-1-597,Cr4Mo5W6V2,0.83,0.3,0.25,4.15,0,5,6.4,1.9,0,0,0,0,0,0,0,0,0,180,453.15
 IV-1-598,Cr4Mo5W6V2,0.81,0.26,0.24,4.1,0,4.69,5.95,1.04,0,0,0,0,0,0,0,0,0,220,493.15
 IV-1-599,Cr4Mo5W6V2,0.85,0.3,0.31,4.15,0.18,4.79,6.34,2.01,0,0,0,0,0,0,0,0,0,190,463.15
 IV-1-600,Cr4Mo5W6V2,0.85,0.3,0.31,4.15,0.18,4.79,6.34,2.01,0,0,0,0,0,0,0,0,0,140,413.15
 IV-1-601,Cr4Mo5W6V,0.83,0.25,0.32,3.89,0,4.3,5.79,1.3,0,0,0,0,0,0,0,0,0,180,453.15
 IV-1-602,Cr4Mo5W6V2,0.87,0.2,0.3,4.2,0,5,6.4,1.9,0,0,0,0,0,0,0,0,0,230,503.15
 IV-1-603,Cr3MoW2V1Co2,0.4,0.2,0.3,3.3,0,1.3,2.5,1.3,0,0,0,0,0,0,1.7,0,0,350,623.15
 IV-1-604,Cr4Mo5W6V2Co5,0.9,0.3,0.3,4.2,0,5,6.4,1.9,0,0,0,0,0,0,4.8,0,0,220,493.15
 IV-1-605,Cr4Mo5W6V2Co5,0.81,0.31,4.11,4.11,0,4.27,5.46,1.51,0,0,0,0,0,0,5.22,0,0,180,453.15
 IV-1-606,Cr4Mo9W2VCo8,1,0.2,3.9,3.9,0,9.4,1.5,1.15,0,0,0,0,0,0,8,0,0,220,493.15
 IV-1-607,Cr4Mo5W6V3Co10,1.2,0.3,4.1,4.1,0,5,6.4,3.4,0,0,0,0,0,0,10.2,0,0,225,498.15
 IV-1-608,0Cr13,0.06,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,370,643.15
 IV-1-609,0Cr13,0.07,0.3,0.21,12.3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,370,643.15
 IV-1-610,0Cr13,0.08,0.22,0.43,11.28,0.35,0.05,0,0,0,0,0,0,0,0,0,0,0,380,653.15
 IV-1-611,0Cr13,0.09,0.29,0.44,12.66,0,0,0,0,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-612,1Cr13,0.1,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-613,1Cr13,0.11,0.45,0.49,12,0.13,0.02,0,0.02,0,0,0,0,0,0,0,0,0,350,623.15
